gene_id	flower_buds_FPKM	young_pods_FPKM	young_trifoliates_FPKM	flowers_FPKM	stem_10_FPKM	nodules_FPKM	root_19_FPKM	stem_19_FPKM	green_mature_pods_FPKM	leaves_FPKM	root_10_FPKM
Phvul.008G248800	4.010E+01	2.659E+01	1.044E+01	4.991E+01	2.262E+01	3.860E+01	6.293E+01	3.311E+01	3.209E+01	9.295E+00	5.176E+01
Phvul.008G248900	3.616E-01	4.080E-01	3.306E-01	8.013E-01	2.729E-01	1.040E+00	1.575E+00	5.634E-01	3.916E-01	2.231E-01	2.070E+00
Phvul.008G249000	0.000E+00	0.000E+00	1.396E-01	1.088E-01	1.886E+00	1.693E+00	2.888E+00	3.709E+00	0.000E+00	0.000E+00	3.502E+00
Phvul.008G249100	1.468E+00	5.518E-01	1.201E-01	1.279E+00	5.522E-01	4.515E+00	4.539E+00	9.549E-02	2.476E-02	0.000E+00	6.087E+00
Phvul.008G249200	4.871E-01	5.667E-01	7.111E-01	2.514E-01	4.429E-01	3.740E-01	5.819E-01	4.435E-01	4.789E-01	7.216E-01	4.256E-01
Phvul.008G249300	1.021E+01	8.211E+00	1.446E+01	6.320E+00	6.933E+00	6.319E+00	3.815E+00	5.275E+00	6.923E+00	3.296E+01	3.875E+00
Phvul.008G249400	1.021E+00	1.803E+00	1.911E+00	1.100E+00	2.664E+00	2.337E+00	3.017E+00	1.904E+00	2.394E+00	3.033E+00	2.543E+00
Phvul.008G249500	9.509E+00	1.414E+01	7.098E+00	3.118E+01	6.990E+00	1.222E+01	9.594E+00	1.643E+01	6.042E+01	5.630E+00	1.177E+00
Phvul.008G249600	1.322E+01	1.468E+01	1.084E+01	1.223E+01	1.456E+01	1.305E+01	1.266E+01	1.800E+01	2.103E+01	1.737E+01	1.039E+01
Phvul.008G249700	4.145E+01	3.845E+01	7.432E+00	2.160E+01	7.499E+01	1.274E+02	1.073E+02	6.021E+01	1.737E+00	6.065E+00	1.721E+02
Phvul.008G249800	4.320E-01	8.165E-01	0.000E+00	5.704E+00	1.080E-01	7.582E+00	1.240E+01	9.815E-02	0.000E+00	0.000E+00	7.379E+01
Phvul.008G249900	2.438E-01	1.302E+00	0.000E+00	3.489E+00	5.601E-02	3.586E+00	1.134E+01	3.374E-02	1.208E-01	0.000E+00	4.672E-01
Phvul.008G250000	1.289E+01	2.981E+01	4.638E+01	1.378E+01	1.956E+01	2.001E+01	1.741E+01	1.450E+01	4.890E+01	4.589E+01	1.814E+01
Phvul.008G250100	6.756E-01	1.943E+00	4.111E+00	7.535E-01	6.272E-01	1.273E+00	5.789E-01	8.263E-01	8.843E-01	2.076E+00	5.394E-01
Phvul.008G250200	6.781E-01	2.025E+00	4.644E+00	7.897E-01	1.338E+00	1.288E+00	6.555E-01	1.244E+00	1.537E+00	4.379E+00	2.895E-01
