# This file contains all markers associated with the QTLs courtesy Sassoum Lo, UC-Riverside
TaxonID	3920
2_04661	CSw6
2_06376	CSw6
2_06378	CSw6
2_09998	CSw6
2_25528	CSw6
2_02391	CSw6
2_02392	CSw6
2_04663	CSw6
2_07501	CSw6
2_07502	CSw6
2_39403	CSw6
2_05619	CSw6
2_09123	CSw6
2_18464	CSw6
2_08787	CSw6
1_0174	CSw6
2_04442	CSw6
2_06251	CSw6
2_06340	CSw6
2_47662	CSw6
2_55420	CSw6
2_12996	CSw6
2_20324	CSw6
2_53629	CSw6
2_09852	CSw6
2_31187	CSw6
2_04451	CSw6
2_06114	CSw6
2_06115	CSw6
2_07817	CSw6
2_10335	CSw6
2_19008	CSw6
2_27636	CSw6
2_27637	CSw6
2_29725	CSw6
2_51776	CSw6
2_52159	CSw6
2_07815	CSw6
2_07814	CSw6
2_07818	CSw6
2_30711	CSw6
2_34496	CSw6
2_25774	CSw6
2_01995	CSw6
2_03065	CSw6
2_03066	CSw6
2_11812	CSw6
2_11813	CSw6
2_11832	CSw6
2_11833	CSw6
2_12133	CSw6
2_12134	CSw6
2_21480	CSw6
2_23657	CSw6
2_25773	CSw6
1_1368	CSw6
2_02065	CSw6
2_04227	CSw6
2_23126	CSw6
2_53897	CSw6
1_0908	CSw6
1_1331	CSw6
2_00622	CSw6
2_03064	CSw6
2_21479	CSw6
2_23658	CSw6
2_24282	CSw6
2_30717	CSw6
2_48938	CSw6
2_50047	CSw6
2_04226	CSw6
2_18429	CSw6
2_19056	CSw6
2_50395	CSw6
2_24281	CSw6
2_33232	CSw6
2_18771	CSw6
2_08068	CSw6
2_08842	CSw6
2_20556	CSw6
2_25558	CSw6
2_27974	CSw6
2_04506	CSw6
2_03223	CSw6
2_05980	CSw6
2_07114	CSw6
2_07514	CSw6
2_07515	CSw6
2_07710	CSw6
2_12684	CSw6
2_13409	CSw6
2_18578	CSw6
2_54827	CSw6
2_08862	CSw6
2_03224	CSw6
2_08047	CSw6
2_08048	CSw6
2_08067	CSw6
2_12685	CSw6
2_15757	CSw6
2_31249	CSw6
2_49588	CSw6
1_1403	CSw6
2_03225	CSw6
2_03227	CSw6
2_07709	CSw6
2_17300	CSw6
2_17301	CSw6
2_32561	CSw6
2_41848	CSw6
2_01527	CSw6
2_00823	CSw6
2_07260	CSw6
2_08863	CSw6
2_14596	CSw6
2_14597	CSw6
2_16890	CSw6
2_16891	CSw6
2_49085	CSw6
2_07407	CSw8
2_23751	CSw8
2_23752	CSw8
2_28910	CSw8
2_15748	CSw8
2_13422	CSw8
2_03460	CSw8
2_10193	CSw8
2_18742	CSw8
2_21382	CSw8
2_13126	CSw8
2_13123	CSw8
2_13125	CSw8
2_00195	CSw8
2_00196	CSw8
2_24390	CSw8
2_27144	CSw8
2_28964	CSw8
2_06501	CSw8
2_17083	CSw8
2_20657	CSw8
2_30420	CSw8
2_31143	CSw8
2_17455	CSw8
2_03351	CSw8
2_08710	CSw8
2_16094	CSw8
2_16098	CSw8
2_21579	CSw8
2_21580	CSw8
2_26203	CSw8
2_29868	CSw8
2_30210	CSw8
2_45363	CSw8
2_49707	CSw8
2_03096	CSw8
2_06970	CSw8
2_13124	CSw8
2_01221	CSw8
2_01222	CSw8
2_08222	CSw8
2_08223	CSw8
2_18537	CSw8
2_24388	CSw8
2_24389	CSw8
2_17171	CSw8
2_01223	CSw8
2_04108	CSw8
2_04618	CSw8
2_04619	CSw8
2_14521	CSw8
2_00522	CSw8
2_03094	CSw8
2_14523	CSw8
2_25890	CSw8
2_26202	CSw8
2_03097	CSw8
2_06971	CSw8
2_16232	CSw8
2_18744	CSw8
2_19659	CSw8
2_25624	CSw8
2_30231	CSw8
2_34415	CSw8
2_30178	CSw8
2_17085	CSw8
2_04111	CSw8
2_05809	CSw8
2_22895	CSw8
2_45201	CSw8
1_0165	CSw8
2_02568	CSw8
2_23402	CSw8
2_02243	CSw8
2_02644	CSw8
2_12563	CSw8
2_31853	CSw8
2_48889	CSw8
2_09764	CSw8
2_15768	CSw8
2_27927	CSw8
2_36269	CSw8
2_05584	CSw8
2_05585	CSw8
2_16512	CSw8
2_17217	CSw8
2_18965	CSw8
2_02645	CSw8
2_12564	CSw8
2_12565	CSw8
2_34252	CSw8
2_21200	CSw8
2_01476	CSw8
2_01477	CSw8
2_23299	CSw8
2_12742	CSw8
2_21201	CSw8
2_24653	CSw8
1_0004	CSw8
2_20056	CSw8
2_20057	CSw8
2_32728	CSw8
2_15443	CSw8
2_17605	CSw8
2_18509	CSw8
2_54221	CSw8
2_54350	CSw8
2_14129	CSw8
2_38444	CSw8
2_14644	CSw8
2_14969	CSw8
2_23362	CSw8
2_25158	CSw8
2_14646	CSw8
2_23361	CSw8
1_0374	CSw8
2_19694	CSw8
2_20561	CSw8
2_22501	CSw8
